2023-11-30 09:52:31 status unpacked libpam-runtime:all 1.5.2-9.1
2023-11-30 09:52:32 install libpam0g:loong64 <none> 1.5.2-9.1
2023-11-30 09:52:32 status half-installed libpam0g:loong64 1.5.2-9.1
2023-11-30 09:52:32 status unpacked libpam0g:loong64 1.5.2-9.1
2023-11-30 09:52:32 install libpcre2-8-0:loong64 <none> 10.42-4
2023-11-30 09:52:32 status half-installed libpcre2-8-0:loong64 10.42-4
2023-11-30 09:52:32 status unpacked libpcre2-8-0:loong64 10.42-4
2023-11-30 09:52:33 install libselinux1:loong64 <none> 3.5-1
2023-11-30 09:52:33 status half-installed libselinux1:loong64 3.5-1
2023-11-30 09:52:33 status unpacked libselinux1:loong64 3.5-1
2023-11-30 09:52:33 install libsemanage-common:all <none> 3.5-1
2023-11-30 09:52:33 status half-installed libsemanage-common:all 3.5-1
2023-11-30 09:52:33 status unpacked libsemanage-common:all 3.5-1
2023-11-30 09:52:33 install libsemanage2:loong64 <none> 3.5-1
2023-11-30 09:52:33 status half-installed libsemanage2:loong64 3.5-1
2023-11-30 09:52:34 status unpacked libsemanage2:loong64 3.5-1
2023-11-30 09:52:34 install libsepol2:loong64 <none> 3.5-2
2023-11-30 09:52:34 status half-installed libsepol2:loong64 3.5-2
2023-11-30 09:52:34 status unpacked libsepol2:loong64 3.5-2
2023-11-30 09:52:34 install libss2:loong64 <none> 1.47.0-2+b1
2023-11-30 09:52:34 status half-installed libss2:loong64 1.47.0-2+b1
2023-11-30 09:52:34 status unpacked libss2:loong64 1.47.0-2+b1
2023-11-30 09:52:35 install libstdc++6:loong64 <none> 13.2.0-7
2023-11-30 09:52:35 status half-installed libstdc++6:loong64 13.2.0-7
2023-11-30 09:52:35 status unpacked libstdc++6:loong64 13.2.0-7
2023-11-30 09:52:35 install libsystemd0:loong64 <none> 255~rc3-2
2023-11-30 09:52:35 status half-installed libsystemd0:loong64 255~rc3-2
2023-11-30 09:52:36 status unpacked libsystemd0:loong64 255~rc3-2
2023-11-30 09:52:36 install libtasn1-6:loong64 <none> 4.19.0-3
2023-11-30 09:52:36 status half-installed libtasn1-6:loong64 4.19.0-3
2023-11-30 09:52:36 status unpacked libtasn1-6:loong64 4.19.0-3
2023-11-30 09:52:36 install libtinfo6:loong64 <none> 6.4+20231121-1
2023-11-30 09:52:36 status half-installed libtinfo6:loong64 6.4+20231121-1
2023-11-30 09:52:37 status unpacked libtinfo6:loong64 6.4+20231121-1
2023-11-30 09:52:37 install libudev1:loong64 <none> 255~rc3-2
2023-11-30 09:52:37 status half-installed libudev1:loong64 255~rc3-2
2023-11-30 09:52:37 status unpacked libudev1:loong64 255~rc3-2
2023-11-30 09:52:37 install libunistring5:loong64 <none> 1.1-2
2023-11-30 09:52:37 status half-installed libunistring5:loong64 1.1-2
2023-11-30 09:52:38 status unpacked libunistring5:loong64 1.1-2
2023-11-30 09:52:38 install libxxhash0:loong64 <none> 0.8.2-2
2023-11-30 09:52:38 status half-installed libxxhash0:loong64 0.8.2-2
2023-11-30 09:52:38 status unpacked libxxhash0:loong64 0.8.2-2
2023-11-30 09:52:38 install libzstd1:loong64 <none> 1.5.5+dfsg2-2
2023-11-30 09:52:38 status half-installed libzstd1:loong64 1.5.5+dfsg2-2
2023-11-30 09:52:39 status unpacked libzstd1:loong64 1.5.5+dfsg2-2
2023-11-30 09:52:39 install login:loong64 <none> 1:4.13+dfsg1-3
2023-11-30 09:52:39 status half-installed login:loong64 1:4.13+dfsg1-3
2023-11-30 09:52:40 status unpacked login:loong64 1:4.13+dfsg1-3
2023-11-30 09:52:40 install logsave:loong64 <none> 1.47.0-2+b1
2023-11-30 09:52:40 status half-installed logsave:loong64 1.47.0-2+b1
2023-11-30 09:52:40 status unpacked logsave:loong64 1.47.0-2+b1
2023-11-30 09:52:40 upgrade mawk:loong64 1.3.4.20231102-1 1.3.4.20231102-1
2023-11-30 09:52:40 status half-configured mawk:loong64 1.3.4.20231102-1
2023-11-30 09:52:40 status unpacked mawk:loong64 1.3.4.20231102-1
2023-11-30 09:52:40 status half-installed mawk:loong64 1.3.4.20231102-1
2023-11-30 09:52:41 status unpacked mawk:loong64 1.3.4.20231102-1
2023-11-30 09:52:41 install ncurses-base:all <none> 6.4+20231121-1
